"name","round1","round2","round3","round4","round5","round6"
"Duke",".9821",".9359",".7877",".6467",".4951",".3024"
"Siena",".0134",".0062",".0033",".0020",".0010",".0005"
"Ohio St.".5953",".0321",".0172",".0103",".0034",".0020"
"TCU",".3835",".0159",".0062",".0029",".0012",".0006"
"St. Johns",".8760",".5162",".0906",".0520",".0241",".0115"
"Northern Iowa",".1079",".0214",".0042",".0018",".0008",".0004"
"Kansas",".9416",".4380",".0793",".0429",".0249",".0156"
"Cal Baptist",".0435",".0113",".0033",".0014",".0007",".0003"
"Louisville",".6454",".1824",".0724",".0068",".0025",".0011"
"South Florida",".3258",".0588",".0116",".0030",".0012",".0006"
"Michigan St.",".9458",".7310",".3457",".0772",".0336",".0136"
"North Dakota St.",".0394",".0131",".0037",".0014",".0006",".0003"
"UCLA",".6725",".1741",".0609",".0095",".0047",".0026"
"UCF",".3052",".0295",".0080",".0021",".0010",".0005"
"UConn",".9615",".7740",".4829",".1325",".0719",".0361"
"Furman",".0265",".0092",".0043",".0015",".0007",".0003"
"Florida",".9536",".8813",".7468",".4177",".1368",".0648"
"LEHIGH/PVAMU",".0138",".0061",".0033",".0019",".0008",".0003"
"Clemson",".4669",".0335",".0158",".0057",".0019",".0009"
"Iowa",".4894",".0486",".0280",".0049",".0018",".0009"
"Vanderbilt",".8087",".5324",".1057",".0287",".0073",".0026"
"McNeese",".1509",".0494",".0063",".0026",".0010",".0004"
"Nebraska",".8473",".3652",".0631",".0192",".0062",".0000"
"Troy",".1123",".0211",".0042",".0018",".0007",".0003"
"North Carolina",".6927",".2920",".1272",".0430",".0104",".0051"
"VCU",".2648",".0486",".0080",".0025",".0009",".0003"
"Illinois",".9070",".6096",".2039",".0917",".0305",".0114"
"Penn",".0556",".0184",".0074",".0046",".0031",".0020"
"Saint Marys",".5099",".0848",".0188",".0060",".0016",".0006"
"Texas A&M",".4454",".0605",".0143",".0051",".0021",".0009"
"Houston",".9367",".8146",".5894",".3400",".1262",".0520"
"Idaho",".0299",".0102",".0046",".0017",".0007",".0004"
"Arizona",".9482",".8938",".7448",".5608",".3893",".1937"
"Long Island",".0158",".0072",".0039",".0023",".0011",".0005"
"Villanova",".5446",".0478",".0256",".0083",".0040",".0016"
"Utah St.",".4059",".0173",".0067",".0026",".0012",".0006"
"Wisconsin",".8070",".3802",".0687",".0302",".0152",".0090"
"High Point",".1474",".0309",".0055",".0024",".0010",".0004"
"Arkansas",".8869",".5307",".1086",".0648",".0295",".0121"
"Hawaii",".0694",".0217",".0055",".0026",".0013",".0006"
"BYU",".7890",".2754",".1144",".0171",".0079",".0031"
"NC ST/TEXAS",".1528",".0271",".0062",".0022",".0010",".0005"
"Gonzaga",".9165",".6419",".3043",".1008",".0490",".0191"
"Kennesaw St.",".0408",".0153",".0035",".0015",".0007",".0003"
"Miami",".6084",".1481",".0475",".0136",".0048",".0021"
"Missouri",".3414",".0410",".0110",".0031",".0013",".0007"
"Purdue",".9362",".7650",".4750",".1585",".0747",".0317"
"Queens",".0242",".0099",".0046",".0018",".0008",".0003"
"Michigan",".9422",".8960",".7711",".5891",".2846",".1448"
"HOW/UMBC",".0149",".0069",".0036",".0020",".0009",".0004"
"Georgia",".5377",".0357",".0124",".0055",".0024",".0012"
"Saint Louis",".4057",".0219",".0098",".0041",".0016",".0008"
"Texas Tech",".7324",".3374",".0491",".0184",".0059",".0021"
"Akron",".2134",".0497",".0052",".0023",".0010",".0005"
"Alabama",".8786",".5495",".1089",".0486",".0152",".0056"
"Hofstra",".0696",".0206",".0044",".0019",".0009",".0004"
"Tennessee",".8259",".3155",".1199",".0180",".0061",".0003"
"SMU/MIA OH",".1177",".0279",".0073",".0025",".0011",".0005"
"Virginia",".9014",".5996",".2579",".0757",".0239",".0077"
"Wright St.",".0478",".0138",".0041",".0016",".0007",".0004"
"Kentucky",".6563",".2083",".0835",".0298",".0162",".0038"
"Santa Clara",".2884",".0402",".0111",".0029",".0010",".0005"
"Iowa St.",".9125",".6943",".4735",".1641",".0512",".0182"
"Tennessee St.",".0407",".0163",".0054",".0018",".0008",".0003"